index,Received_Date,Received_Amount,Particular,Expense_Amount
0,6/19/2022,1000,Large Bag,380
1,6/20/2022,1500,"Stationary(Soft Pin, Paper pin for Dupatta, Fevikwick)",170
2,6/22/2022,500,OLA,839
3,6/23/2022,2000,Auto Rent,520
4,Pending,0,TT Fine,500
5,Pending,0,Bhushan Hotel,2506
6,Pending,0,Food,1290
7,Pending,0,Expomart Labour Charge,200
8,Pending,0,Choclate,400
9,Pending,0,Bhushan Cash,800
10,Pending,0,Delhi Hotel Rest Room,120
11,Pending,0,Water Bottel,70
12,Pending,0,Cooli,300
