index,Received_Date,Received_Amount,Particular,Expense_Amount
0,2022-06-19,1000,Large Bag,380
1,2022-06-20,1500,"Stationary(Soft Pin, Paper pin for Dupatta, Fevikwick)",170
2,2022-06-22,500,OLA,839
3,2022-06-23,2000,Auto Rent,520
4,,0,TT Fine,500
5,,0,Bhushan Hotel,2506
6,,0,Food,1290
7,,0,Expomart Labour Charge,200
8,,0,Choclate,400
9,,0,Bhushan Cash,800
10,,0,Delhi Hotel Rest Room,120
11,,0,Water Bottel,70
12,,0,Cooli,300
